,index,population_density,median_age,aged_70_older,gdp_per_capita,cardiovasc_death_rate,diabetes_prevalence,hospital_beds_per_thousand,life_expectancy,human_development_index,Asthma Prevalence (m/f) Age-standardized,PM2.5 air pollution,Daily smoking prevalence ,Prevalence of obesity (both sexes) - WHO (2019),CFR,anomaly
0,0,54.422,18.6,1.337,1803.987,597.029,9.59,0.5,64.83,0.498,6.2157699189999995,62.85485658,11.9,5.5,0.03681399531309608,1
1,1,104.87100000000001,38.0,8.642999999999999,11803.431,304.195,10.08,2.89,78.57,0.785,2.870006802,14.63400837,20.5,21.7,0.029834253558031393,1
2,2,17.348,29.1,3.8569999999999998,13913.839,278.36400000000003,6.73,1.9,76.88,0.754,6.127562557999999,37.23095588,11.2,27.4,0.033503272114126466,1
3,6,231.845,32.1,4.631,21490.943,191.511,13.17,3.8,77.02,0.78,7.543191905,15.68594257,3.4000001,18.9,0.031579218637253895,1
4,7,16.177,31.9,7.441,18933.907,191.032,5.5,5.0,76.67,0.825,4.820861408,14.14816717,19.299999,28.3,0.020912355144875196,1
5,8,102.931,35.7,7.571000000000001,8787.58,341.01,7.11,4.2,75.09,0.755,3.5180045239999997,26.97289332,26.700001,20.2,0.019988525199125584,1
6,10,3.202,37.9,10.129,44648.71,107.791,5.07,3.84,83.44,0.9390000000000001,10.70579106,6.126806421,16.299999,29.0,0.029721177613418866,1
7,11,106.749,44.4,13.748,45436.685999999994,145.183,6.35,7.37,81.54,0.9079999999999999,5.331616165,14.96518831,29.299999,20.1,0.023783014783200346,1
8,12,119.309,32.4,3.8710000000000004,15847.419,559.812,7.11,4.7,73.0,0.757,3.51612137,32.97762008,22.4,19.9,0.014680308356882719,1
9,13,39.497,34.3,5.2,27717.847,235.954,13.17,2.9,73.92,0.807,7.872917965,12.79114179,10.1,31.6,0.0231532158320107,1
11,15,1265.036,27.5,3.262,3523.9840000000004,298.003,8.38,0.8,72.59,0.608,2.747619365,101.0171569,22.4,3.6,0.013917260112988092,1
12,16,664.4630000000001,39.8,9.472999999999999,16978.068,170.05,13.57,5.8,79.19,0.8,6.941877381,18.41481258,6.0,23.1,0.03888927914580566,1
13,17,46.858000000000004,40.3,9.788,17167.967,443.129,5.18,11.0,74.79,0.8079999999999999,4.156045551,19.79873107,26.9,24.5,0.009946883442110118,1
14,18,375.564,41.8,12.849,42658.575999999994,114.898,4.29,5.64,81.63,0.9159999999999999,4.661124088,16.04343237,26.1,22.1,0.10847190396041612,1
15,19,16.426,25.0,2.279,7824.361999999999,176.957,17.11,1.3,74.62,0.708,7.867629492000001,20.18159894,8.8999996,24.1,0.013581072900211629,1
16,20,99.11,18.8,1.942,2064.236,235.84799999999998,0.99,0.5,61.77,0.515,3.3368724010000004,95.96032285,7.6999998,9.6,0.01783870008381323,1
17,22,21.188000000000002,28.6,2.977,8708.597,217.06599999999997,9.75,1.7,71.78,0.612,3.190509392,55.79888972,11.0,6.4,0.0,1
18,23,10.202,25.4,4.393,6885.829000000001,204.299,6.89,1.1,71.51,0.693,6.28609811,22.04269225,24.4,20.2,0.057912341146993424,1
19,25,68.49600000000001,42.5,10.710999999999999,11713.895,329.635,10.08,3.5,77.4,0.768,4.233564391,39.27178089,31.200001,17.9,0.030163300013403255,1
20,26,4.044,25.8,2.242,15807.374,237.372,4.81,1.8,69.59,0.7170000000000001,3.6718733639999996,23.13720408,13.5,18.9,0.004440100413935983,1
21,27,25.04,33.5,5.06,14103.452,177.96099999999998,8.11,2.2,75.88,0.759,4.8753806310000005,12.65285893,13.8,22.1,0.03055884402319071,1
22,29,81.347,32.4,2.3819999999999997,71809.25099999999,201.285,12.79,2.7,75.86,0.853,4.693982666,6.429309073,11.5,14.1,0.020688448321118994,1
23,30,65.18,44.7,13.272,18563.307,424.68800000000005,5.81,7.454,75.05,0.813,3.4284674230000003,25.64668767,32.299999,25.0,0.0401180106394362,1
24,31,70.15100000000001,17.6,1.358,1703.102,269.048,2.42,0.4,61.58,0.423,3.681528601,110.7308018,10.5,5.6,0.03768515522795369,1
25,32,423.06199999999995,17.5,1.504,702.225,293.068,6.05,0.8,61.58,0.41700000000000004,4.03251281,46.28293462,13.9,5.4,0.0021297094467826174,1
26,33,90.67200000000001,25.6,2.385,3645.07,270.892,4.0,0.8,69.82,0.5820000000000001,4.7404207110000005,26.14133409,19.5,3.9,0.0,1
27,34,50.885,18.8,1.919,3364.926,244.66099999999997,7.2,1.3,59.29,0.556,3.316184242,139.70579009999997,7.0,11.4,0.020740243475307528,1
28,35,4.037,41.4,10.797,44017.59099999999,105.59899999999999,7.37,2.5,82.43,0.9259999999999999,5.768146547000001,7.5252244820000005,14.5,29.4,0.06791233739350716,1
29,36,135.58,25.7,3.437,6222.554,182.21900000000002,2.42,2.1,72.98,0.654,3.463695327,66.64177108,6.599999900000001,11.8,0.009436057109252802,1
30,38,7.479,18.3,2.251,661.24,435.727,6.1,1.0,53.28,0.36700000000000005,4.763849539,66.32023289,8.3999996,7.5,0.01306081004086018,1
31,40,24.281999999999996,35.4,6.938,22767.037,127.993,8.46,2.11,80.18,0.843,5.03409098,21.9671149,28.6,28.0,0.02748273050934356,1
32,41,147.674,38.7,5.928999999999999,15308.712,261.899,9.74,4.34,76.91,0.752,2.68834086,56.33014796,24.9,6.2,0.052508863266153505,1
33,42,44.223,32.2,4.312,13254.948999999999,124.24,7.44,1.71,77.29,0.747,4.126945992,17.11938773,11.3,22.3,0.032065861258840506,1
34,43,437.352,20.4,1.726,1413.89,261.51599999999996,11.88,2.2,64.32,0.503,4.7804015810000005,19.14635158,10.4,7.8,0.015351404129050962,1
35,45,96.079,33.6,5.694,15524.995,137.97299999999998,8.78,1.13,80.28,0.794,5.786990744,18.53054595,12.1,25.7,0.01078993616580508,1
36,47,73.726,44.0,13.052999999999999,22669.797000000002,253.782,5.59,5.54,78.49,0.831,3.910435043,19.81560787,27.9,24.4,0.016102935217364358,1
37,50,127.65700000000001,37.3,8.562999999999999,32415.132,141.171,9.24,3.4,80.98,0.8690000000000001,5.5454233120000005,17.86639632,31.6,21.8,0.013842898261193406,1
38,51,137.17600000000002,43.3,11.58,32605.906000000003,227.485,6.82,6.63,79.38,0.888,3.255005441,19.17869055,23.6,26.0,0.013821599147854172,1
39,53,136.52,42.3,12.325,46682.515,114.76700000000001,6.41,2.5,80.9,0.929,5.703593401,10.32874421,18.700001,19.7,0.033238133162501515,1
40,54,41.285,25.4,2.38,2705.406,258.03700000000003,6.05,1.4,67.11,0.47600000000000003,4.195113285,71.70929766,21.5,13.5,0.011308904858189472,1
41,56,222.873,27.6,4.419,14600.861,266.653,8.2,1.6,74.08,0.736,5.744420036,23.69819597,11.1,27.6,0.018935093239971425,1
42,57,66.939,28.1,4.458,10581.936000000002,140.44799999999998,5.55,1.5,77.01,0.752,4.991049106,13.1676851,6.4000001,19.9,0.09495078361732427,1
